area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom,total_room,ready,price_per_sqft,price_per_total_room,total_spaces,price_per_total_spaces
Super built-up  Area,Ready To Move,Krishna Reddy Layout,ThntsAp,1250.0,3,1,55.0,3,5,Ready,0.044,11.0,9,6.111111111111111
Plot  Area,18-Mar,Kuvempu Layout,LGeete ,2200.0,4,2,160.0,3,3,Not Ready,0.07272727272727272,53.333333333333336,9,17.77777777777778
Built-up  Area,Ready To Move,Billekahalli,GrrvaGr,2400.0,3,1,150.0,3,3,Ready,0.0625,50.0,7,21.428571428571427
Super built-up  Area,Ready To Move,Chandapura,PavesGr,876.0,2,2,29.5,2,4,Ready,0.03367579908675799,7.375,8,3.6875
Super built-up  Area,Ready To Move,Nagarbhavi,GrrvaGr,1850.0,2,2,89.0,3,5,Ready,0.04810810810810811,17.8,9,9.88888888888889
Super built-up  Area,18-Apr,Kadugodi,Alestrb,1314.0,2,3,83.0,2,4,Not Ready,0.06316590563165905,20.75,9,9.222222222222221
Super built-up  Area,20-Aug,Rachenahalli,AsNowre,690.0,1,1,39.8,1,3,Not Ready,0.057681159420289854,13.266666666666666,5,7.959999999999999
Built-up  Area,Ready To Move,Electronic City Phase II,Shrds O,3550.0,2,1,167.5,4,4,Ready,0.047183098591549295,41.875,7,23.928571428571427
Built-up  Area,Ready To Move,Srirampura,HooudSi,1230.0,2,3,55.0,2,4,Ready,0.044715447154471545,13.75,9,6.111111111111111
Super built-up  Area,18-May,Bommasandra,SSestth,920.0,2,1,37.2,2,4,Not Ready,0.04043478260869565,9.3,7,5.314285714285715
Built-up  Area,Ready To Move,Sarjapur  Road,Adeatlm,1850.0,3,3,140.0,3,5,Ready,0.07567567567567568,28.0,11,12.727272727272727
Super built-up  Area,Ready To Move,Electronic City,Goty  E,1073.0,2,2,60.0,2,4,Ready,0.05591798695246971,15.0,8,7.5
Super built-up  Area,Ready To Move,Maithri Layout,Lalipa ,1540.0,3,3,76.0,3,5,Ready,0.04935064935064935,15.2,11,6.909090909090909
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1550.0,3,3,63.5,3,5,Ready,0.04096774193548387,12.7,11,5.7727272727272725
Super built-up  Area,Ready To Move,Kalyan nagar,Satle C,1198.0,2,1,65.0,2,4,Ready,0.05425709515859766,16.25,7,9.285714285714286
Super built-up  Area,Ready To Move,HBR Layout,HMtesle,1656.0,3,2,90.0,3,5,Ready,0.05434782608695652,18.0,10,9.0
Super built-up  Area,Ready To Move,Kaveri Nagar,Roiti A,1900.0,3,3,155.0,3,5,Ready,0.08157894736842106,31.0,11,14.090909090909092
Built-up  Area,Ready To Move,Ramagondanahalli,DNeremo,1910.0,3,2,142.0,3,5,Ready,0.0743455497382199,28.4,10,14.2
Super built-up  Area,Ready To Move,Mysore Road,GrrvaGr,1003.0,2,1,43.0,2,4,Ready,0.04287138584247258,10.75,7,6.142857142857143
Built-up  Area,Ready To Move,Chickpet,GrrvaGr,1098.0,2,0,48.0,2,4,Ready,0.04371584699453552,12.0,6,8.0
Super built-up  Area,Ready To Move,Whitefield,Sonviik,1495.0,2,1,67.0,3,5,Ready,0.044816053511705686,13.4,8,8.375
Super built-up  Area,19-Dec,Thanisandra,DSity S,2172.0,3,2,76.02,3,5,Not Ready,0.034999999999999996,15.203999999999999,10,7.601999999999999
Plot  Area,Ready To Move,Sarakki Nagar,GrrvaGr,2400.0,4,2,358.0,4,4,Ready,0.14916666666666667,89.5,10,35.8
Plot  Area,Ready To Move,T G extension,GrrvaGr,1200.0,1,2,95.0,2,2,Ready,0.07916666666666666,47.5,5,19.0
Super built-up  Area,Ready To Move,Whitefield,DSe 2ie,1548.0,3,1,65.0,3,5,Ready,0.04198966408268734,13.0,9,7.222222222222222
Super built-up  Area,18-Dec,Whitefield,Prtates,2856.0,5,0,154.5,4,6,Not Ready,0.05409663865546219,25.75,11,14.045454545454545
Super built-up  Area,18-Jul,Hosur Road,PuendWe,1689.0,3,1,103.0,3,5,Not Ready,0.06098283007696862,20.6,9,11.444444444444445
Super built-up  Area,Ready To Move,Electronic City Phase II,GrrvaGr,1031.0,2,1,53.0,2,4,Ready,0.05140640155189137,13.25,7,7.571428571428571
Super built-up  Area,18-Jul,Bhoganhalli,Rosha I,2119.0,4,2,111.0,4,6,Not Ready,0.052383199622463426,18.5,12,9.25
Plot  Area,18-Dec,Whitefield,GrrvaGr,1200.0,2,2,46.13,2,2,Not Ready,0.038441666666666666,23.065,6,7.6883333333333335
Super built-up  Area,Ready To Move,JCR Layout,GrrvaGr,1060.0,2,2,37.0,2,4,Ready,0.03490566037735849,9.25,8,4.625
Super built-up  Area,Ready To Move,Devi Nagar,RMerslu,1100.0,2,1,61.0,2,4,Ready,0.05545454545454546,15.25,7,8.714285714285714
Plot  Area,Ready To Move,GKW Layout,GrrvaGr,1350.0,4,2,225.0,4,4,Ready,0.16666666666666666,56.25,10,22.5
Plot  Area,Ready To Move,Gandhi Nagar,GrrvaGr,1050.0,4,1,80.0,5,5,Ready,0.0761904761904762,16.0,10,8.0
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1250.0,2,1,77.88,3,5,Ready,0.062304,15.575999999999999,8,9.735
Super built-up  Area,18-May,8th Block Jayanagar,GrrvaGr,1100.0,2,2,110.0,2,4,Not Ready,0.1,27.5,8,13.75
Plot  Area,18-Aug,Whitefield,GrrvaGr,1200.0,2,1,46.13,2,2,Not Ready,0.038441666666666666,23.065,5,9.226
Super built-up  Area,Ready To Move,Seegehalli,GrrvaGr,1420.0,2,2,46.0,3,5,Ready,0.0323943661971831,9.2,9,5.111111111111111
Super built-up  Area,18-Apr,Electronic City,GMown E,1500.0,2,1,78.0,3,5,Not Ready,0.052,15.6,8,9.75
Built-up  Area,Ready To Move,OLd Gurappanapalya,SoliaMa,1942.0,3,1,155.0,3,5,Ready,0.07981462409886715,31.0,9,17.22222222222222
Super built-up  Area,18-Dec,Haralur Road,NDiteio,1985.0,3,2,130.0,3,5,Not Ready,0.0654911838790932,26.0,10,13.0
Super built-up  Area,18-Apr,Sarjapur  Road,Kiare S,950.0,1,0,39.9,1,3,Not Ready,0.041999999999999996,13.299999999999999,4,9.975
Plot  Area,Ready To Move,AMS Layout,GrrvaGr,1200.0,4,2,80.0,3,3,Ready,0.06666666666666667,26.666666666666668,9,8.88888888888889
Super built-up  Area,Ready To Move,Green Glen Layout,Solia D,1752.0,3,2,105.0,3,5,Ready,0.059931506849315065,21.0,10,10.5
Plot  Area,Ready To Move,Abbigere,GrrvaGr,1200.0,3,2,120.0,4,4,Ready,0.1,30.0,9,13.333333333333334
Plot  Area,Ready To Move,Mahalakshmi Layout,GrrvaGr,1200.0,5,1,200.0,5,5,Ready,0.16666666666666666,40.0,11,18.181818181818183
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,1480.0,2,2,84.0,3,5,Ready,0.05675675675675676,16.8,9,9.333333333333334
Plot  Area,Ready To Move,Jnana Ganga Nagar,GrrvaGr,600.0,4,1,81.0,3,3,Ready,0.135,27.0,8,10.125
Super built-up  Area,Ready To Move,Sarjapur  Road,Saitya ,1826.0,3,2,130.0,3,5,Ready,0.07119386637458927,26.0,10,13.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,GrrvaGr,1035.0,2,1,39.33,2,4,Ready,0.038,9.8325,7,5.618571428571428
Built-up  Area,Ready To Move,Sarjapur  Road,Saacesa,2600.0,4,1,98.0,4,4,Ready,0.03769230769230769,24.5,9,10.88888888888889
Built-up  Area,Ready To Move,Kasavanhalli,GrrvaGr,1667.0,3,2,92.0,3,5,Ready,0.055188962207558485,18.4,10,9.2
Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,934.0,2,2,55.0,2,4,Ready,0.058886509635974305,13.75,8,6.875
Built-up  Area,Ready To Move,JP Nagar,GrrvaGr,909.872467,3,1,69.34,3,5,Ready,0.07620848252351832,13.868,9,7.704444444444444
Super built-up  Area,Ready To Move,Mahadevpura,Neisei ,1620.0,2,1,76.0,3,5,Ready,0.04691358024691358,15.2,8,9.5
Super built-up  Area,17-Jun,Electronic City,GMown E,1070.0,2,1,47.0,2,4,Not Ready,0.04392523364485981,11.75,7,6.714285714285714
Built-up  Area,Ready To Move,Hosur Road,GrrvaGr,3600.0,5,3,180.0,5,5,Ready,0.05,36.0,13,13.846153846153847
Super built-up  Area,18-Apr,Uttarahalli,GrrvaGr,1280.0,2,2,60.0,3,5,Not Ready,0.046875,12.0,9,6.666666666666667
Super built-up  Area,Ready To Move,rr nagar,GrrvaGr,1400.0,2,2,60.0,2,4,Ready,0.04285714285714286,15.0,8,7.5
Plot  Area,Ready To Move,Vishveshwarya Layout,GrrvaGr,1200.0,8,1,180.0,7,7,Ready,0.15,25.714285714285715,16,11.25
Built-up  Area,Ready To Move,"Varthur Road, ",GrrvaGr,1330.0,2,1,64.0,2,4,Ready,0.0481203007518797,16.0,7,9.142857142857142
Super built-up  Area,19-Dec,Balagere,Soresea,1012.0,2,1,54.59,2,4,Not Ready,0.053942687747035575,13.6475,7,7.798571428571429
Super built-up  Area,19-Dec,Electronic City Phase II,DSineSt,1611.0,2,2,48.33,3,5,Not Ready,0.03,9.666,9,5.37
Super built-up  Area,Ready To Move,Whitefield,Gamesti,1405.0,3,2,58.0,3,5,Ready,0.04128113879003559,11.6,10,5.8
Super built-up  Area,Ready To Move,VGP Layout,Vaurtar,1515.0,3,3,90.0,3,5,Ready,0.0594059405940594,18.0,11,8.181818181818182
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,1830.0,4,2,150.0,3,5,Ready,0.08196721311475409,30.0,11,13.636363636363637
Built-up  Area,Ready To Move,Kaggadasapura,Omncy R,1710.0,3,0,60.0,3,5,Ready,0.03508771929824561,12.0,8,7.5
Built-up  Area,Ready To Move,BTM Layout,Varala ,935.0,2,1,51.5,2,4,Ready,0.05508021390374331,12.875,7,7.357142857142857
Super built-up  Area,18-Apr,Jakkur,GrrvaGr,2197.0,3,2,136.0,3,5,Not Ready,0.061902594446973144,27.2,10,13.6
Plot  Area,Ready To Move,TC Palaya,GrrvaGr,600.0,4,0,65.0,4,4,Ready,0.10833333333333334,16.25,8,8.125
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,1678.0,3,1,92.13,3,5,Ready,0.05490464839094159,18.426,9,10.236666666666666
Built-up  Area,Ready To Move,Brookefield,Roeekbl,1410.0,2,0,80.0,3,5,Ready,0.05673758865248227,16.0,7,11.428571428571429
Super built-up  Area,Ready To Move,Jakkur,AvensGa,1125.0,2,2,65.0,2,4,Ready,0.057777777777777775,16.25,8,8.125
Super built-up  Area,Ready To Move,Magadi Road,Vrenty ,1191.0,2,1,55.38,3,5,Ready,0.046498740554156176,11.076,8,6.9225
Super built-up  Area,Ready To Move,Thubarahalli,GrrvaGr,1200.0,2,2,79.0,2,4,Ready,0.06583333333333333,19.75,8,9.875
Super built-up  Area,Ready To Move,CV Raman Nagar,Keera R,1525.0,2,3,67.0,3,5,Ready,0.043934426229508196,13.4,10,6.7
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,GrrvaGr,1464.0,3,3,56.0,3,5,Ready,0.03825136612021858,11.2,11,5.090909090909091
Super built-up  Area,18-Dec,Seegehalli,GrrvaGr,920.0,2,1,27.0,2,4,Not Ready,0.029347826086956522,6.75,7,3.857142857142857
Built-up  Area,Ready To Move,Yelahanka,GrrvaGr,651.0,1,1,17.5,1,3,Ready,0.026881720430107527,5.833333333333333,5,3.5
Super built-up  Area,Ready To Move,Chikkabanavar,Javasya,600.0,1,2,25.0,2,4,Ready,0.041666666666666664,6.25,7,3.5714285714285716
Super built-up  Area,18-Sep,Chandapura,SunceEs,645.0,1,1,16.45,1,3,Not Ready,0.025503875968992246,5.483333333333333,5,3.29
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1185.0,2,2,44.0,2,4,Ready,0.03713080168776371,11.0,8,5.5
Super built-up  Area,18-May,Electronics City Phase 1,Shitt S,1190.0,2,1,68.0,2,4,Not Ready,0.05714285714285714,17.0,7,9.714285714285714
Plot  Area,Ready To Move,Harohalli,GrrvaGr,91040.4,2,0,200.0,2,2,Ready,0.002196826903220988,100.0,4,50.0
Super built-up  Area,18-Dec,Whitefield,Prtates,2856.0,5,0,158.5,4,6,Not Ready,0.05549719887955182,26.416666666666668,11,14.409090909090908
Super built-up  Area,Ready To Move,Whitefield,Veale R,1355.0,2,3,73.0,2,4,Ready,0.05387453874538745,18.25,9,8.11111111111111
Plot  Area,Ready To Move,KR Puram,GrrvaGr,1200.0,1,0,65.0,2,2,Ready,0.05416666666666667,32.5,3,21.666666666666668
Plot  Area,Ready To Move,Kundalahalli,GrrvaGr,7000.0,4,3,550.0,4,4,Ready,0.07857142857142857,137.5,11,50.0
Plot  Area,Ready To Move,Ramamurthy Nagar,GrrvaGr,1200.0,4,1,110.0,6,6,Ready,0.09166666666666666,18.333333333333332,11,10.0
Super built-up  Area,Ready To Move,Yelahanka New Town,KHatsFl,500.0,2,1,24.0,1,3,Ready,0.048,8.0,6,4.0
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,Stkarrd,1250.0,3,3,50.0,3,5,Ready,0.04,10.0,11,4.545454545454546
Built-up  Area,Ready To Move,Uttarahalli,GrrvaGr,1480.0,2,1,58.0,3,5,Ready,0.03918918918918919,11.6,8,7.25
Built-up  Area,Ready To Move,Ambalipura,Toeadp ,3300.0,4,2,329.0,4,6,Ready,0.0996969696969697,54.833333333333336,12,27.416666666666668
Super built-up  Area,18-May,KR Puram,TGasyhu,1583.0,2,1,70.445,3,5,Not Ready,0.04450094756790903,14.088999999999999,8,8.805625
Super built-up  Area,Ready To Move,Green Woods Layout,Paarklu,1206.0,2,1,53.0,2,4,Ready,0.0439469320066335,13.25,7,7.571428571428571
Super built-up  Area,18-Aug,Rajaji Nagar,ProdsWe,1357.0,2,1,130.0,2,4,Not Ready,0.09579955784819455,32.5,7,18.571428571428573
Built-up  Area,Ready To Move,Hosakerehalli,GrrvaGr,925.0,2,1,46.5,2,4,Ready,0.05027027027027027,11.625,7,6.642857142857143
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,909.0,2,1,40.9,2,4,Ready,0.04499449944994499,10.225,7,5.8428571428571425
Plot  Area,Ready To Move,Seegehalli,Stndeil,3000.0,5,2,335.0,3,3,Ready,0.11166666666666666,111.66666666666667,10,33.5
Built-up  Area,Ready To Move,Brookefield,Bhiya N,1100.0,2,1,55.0,2,4,Ready,0.05,13.75,7,7.857142857142857
Super built-up  Area,Ready To Move,Vidyaranyapura,GrrvaGr,1100.0,2,1,54.0,2,4,Ready,0.04909090909090909,13.5,7,7.714285714285714
Super built-up  Area,Ready To Move,Subramanyapura,Mayne A,975.0,2,1,65.0,2,4,Ready,0.06666666666666667,16.25,7,9.285714285714286
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1306.0,2,2,44.17,2,4,Ready,0.0338208269525268,11.0425,8,5.52125
Plot  Area,Ready To Move,Roopena Agrahara,GrrvaGr,1200.0,4,1,95.0,4,4,Ready,0.07916666666666666,23.75,9,10.555555555555555
Super built-up  Area,Ready To Move,Kalena Agrahara,MBpleca,610.0,1,1,39.0,1,3,Ready,0.06393442622950819,13.0,5,7.8
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,1484.0,2,2,56.4,3,5,Ready,0.038005390835579515,11.28,9,6.266666666666667
Super built-up  Area,17-May,Ramamurthy Nagar,Vedhias,1125.0,2,1,47.0,2,4,Not Ready,0.041777777777777775,11.75,7,6.714285714285714
Super built-up  Area,18-Jul,Bhoganhalli,Rosha I,1447.0,2,1,75.97,2,4,Not Ready,0.05250172771250864,18.9925,7,10.852857142857143
Super built-up  Area,18-Dec,Whitefield,Prtates,2882.0,5,1,158.0,4,6,Not Ready,0.054823039555863984,26.333333333333332,12,13.166666666666666
Plot  Area,Ready To Move,Vidyaranyapura,GrrvaGr,750.0,4,0,88.0,4,4,Ready,0.11733333333333333,22.0,8,11.0
Super built-up  Area,Ready To Move,Kundalahalli,GrrvaGr,2075.0,3,1,115.0,3,5,Ready,0.05542168674698795,23.0,9,12.777777777777779
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,Pantsce,1250.0,2,1,58.0,2,4,Ready,0.0464,14.5,7,8.285714285714286
Super built-up  Area,Ready To Move,Horamavu Banaswadi,GrrvaGr,1272.0,2,2,51.5,2,4,Ready,0.0404874213836478,12.875,8,6.4375
Plot  Area,Ready To Move,Banashankari Stage II,GrrvaGr,1050.0,3,2,125.0,4,4,Ready,0.11904761904761904,31.25,9,13.88888888888889
Super built-up  Area,18-Aug,Venkateshpuram,GrrvaGr,625.0,2,1,24.0,2,4,Not Ready,0.0384,6.0,7,3.4285714285714284
Built-up  Area,Ready To Move,1st Phase JP Nagar,Opamaan,840.0,2,2,50.0,1,3,Ready,0.05952380952380952,16.666666666666668,7,7.142857142857143
Super built-up  Area,Ready To Move,Hennur Road,Samittv,2502.0,4,2,180.0,4,6,Ready,0.07194244604316546,30.0,12,15.0
Super built-up  Area,Ready To Move,Rayasandra,MJeusyl,583.0,1,1,26.9,1,3,Ready,0.04614065180102916,8.966666666666667,5,5.38
Super built-up  Area,18-Dec,Gunjur Palya,GrrvaGr,900.0,2,1,27.0,2,4,Not Ready,0.03,6.75,7,3.857142857142857
Super built-up  Area,Ready To Move,Sarjapur  Road,GrrvaGr,1115.0,2,2,50.0,2,4,Ready,0.04484304932735426,12.5,8,6.25
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,GrrvaGr,1464.0,2,2,56.0,2,4,Ready,0.03825136612021858,14.0,8,7.0
Built-up  Area,18-Mar,Kanakapura,GrrvaGr,2200.0,3,1,121.0,3,3,Not Ready,0.055,40.333333333333336,7,17.285714285714285
Super built-up  Area,19-Dec,Whitefield,Oreldhi,750.0,1,1,51.0,1,3,Not Ready,0.068,17.0,5,10.2
Super built-up  Area,Ready To Move,Marathahalli,Afncyad,1600.0,3,3,58.0,3,5,Ready,0.03625,11.6,11,5.2727272727272725
Super built-up  Area,Ready To Move,Chikkalasandra,SLarei ,1365.0,2,2,49.0,3,5,Ready,0.035897435897435895,9.8,9,5.444444444444445
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",GrrvaGr,1300.0,3,2,64.0,3,5,Not Ready,0.04923076923076923,12.8,10,6.4
Built-up  Area,Ready To Move,Kurubarahalli,GrrvaGr,1200.0,1,0,69.0,1,1,Ready,0.0575,69.0,2,34.5
Super built-up  Area,Ready To Move,Hormavu,ARaveSa,1260.0,2,2,35.0,2,4,Ready,0.027777777777777776,8.75,8,4.375
Super built-up  Area,Ready To Move,Electronics City Phase 1,Sarlsm ,1190.0,2,2,33.92,2,4,Ready,0.028504201680672272,8.48,8,4.24
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2480.0,4,1,260.0,3,5,Ready,0.10483870967741936,52.0,10,26.0
Super built-up  Area,18-May,Vishwapriya Layout,GrrvaGr,1250.0,3,2,38.0,3,5,Not Ready,0.0304,7.6,10,3.8
Built-up  Area,Ready To Move,Kaggadasapura,GrrvaGr,1500.0,3,0,75.0,3,5,Ready,0.05,15.0,8,9.375
Super built-up  Area,Ready To Move,Banashankari Stage V,Naiewre,1510.0,3,3,47.57,3,5,Ready,0.03150331125827815,9.514,11,4.324545454545454
Super built-up  Area,19-Jan,7th Phase JP Nagar,GrrvaGr,1187.0,2,1,59.0,2,4,Not Ready,0.04970513900589722,14.75,7,8.428571428571429
Super built-up  Area,Ready To Move,Kundalahalli,Rasom B,1120.0,2,1,53.76,2,4,Ready,0.048,13.44,7,7.68
Super built-up  Area,20-Dec,Whitefield,Somns T,1115.0,2,0,34.555,2,4,Not Ready,0.030991031390134528,8.63875,6,5.759166666666666
Super built-up  Area,Ready To Move,Dodsworth Layout,Ciques ,1717.0,3,3,99.0,3,5,Ready,0.05765870704717531,19.8,11,9.0
Built-up  Area,Ready To Move,Mullur,Arora A,2099.0,3,1,95.0,3,5,Ready,0.04525964745116722,19.0,9,10.555555555555555
Super built-up  Area,Ready To Move,Kasturi Nagar,GrrvaGr,1100.0,2,2,58.0,2,4,Ready,0.05272727272727273,14.5,8,7.25
Plot  Area,Ready To Move,Hegganahalli,GrrvaGr,1200.0,1,0,48.0,1,1,Ready,0.04,48.0,2,24.0
Built-up  Area,Ready To Move,Bannerghatta Road,AMaveon,1465.0,2,1,45.87,3,5,Ready,0.03131058020477816,9.174,8,5.73375
Plot  Area,Ready To Move,Kothanur,GrrvaGr,1500.0,1,0,75.0,1,1,Ready,0.05,75.0,2,37.5
Plot  Area,Ready To Move,Prashanth Nagar,GrrvaGr,4050.0,4,1,600.0,5,5,Ready,0.14814814814814814,120.0,10,60.0
Super built-up  Area,Ready To Move,Haralur Road,Ozensve,1255.0,2,1,90.0,3,5,Ready,0.07171314741035857,18.0,8,11.25
Super built-up  Area,Ready To Move,5th Phase JP Nagar,GrrvaGr,1220.0,2,3,88.0,2,4,Ready,0.07213114754098361,22.0,9,9.777777777777779
Built-up  Area,18-Aug,Electronic City Phase II,Sryalan,1065.0,2,1,30.88,2,4,Not Ready,0.028995305164319248,7.72,7,4.411428571428571
Built-up  Area,Ready To Move,Sultan Palaya,GrrvaGr,1765.0,3,3,80.0,3,5,Ready,0.0453257790368272,16.0,11,7.2727272727272725
Super built-up  Area,Ready To Move,Bellandur,OriewLa,1281.0,2,2,87.0,2,4,Ready,0.06791569086651054,21.75,8,10.875
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,1210.0,2,2,25.0,2,4,Ready,0.02066115702479339,6.25,8,3.125
Carpet  Area,Ready To Move,Kaggadasapura,AnaveEn,1215.0,2,3,43.0,2,4,Ready,0.03539094650205761,10.75,9,4.777777777777778
Plot  Area,Ready To Move,Ananth Nagar,GrrvaGr,1200.0,3,1,87.0,4,4,Ready,0.0725,21.75,8,10.875
Super built-up  Area,Ready To Move,Mysore Road,SaodySa,1237.0,2,2,73.0,2,4,Ready,0.05901374292643492,18.25,8,9.125
Super built-up  Area,Ready To Move,Lakshminarayana Pura,Oaeze B,1300.0,2,1,70.0,2,4,Ready,0.05384615384615385,17.5,7,10.0
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1105.0,2,2,39.99,2,4,Ready,0.03619004524886878,9.9975,8,4.99875
Super built-up  Area,Ready To Move,Chandapura,Riiew L,1505.0,2,2,42.0,3,5,Ready,0.027906976744186046,8.4,9,4.666666666666667
Super built-up  Area,Ready To Move,Hebbal Kempapura,GonumPl,3900.0,5,1,310.0,4,6,Ready,0.07948717948717948,51.666666666666664,12,25.833333333333332
Built-up  Area,Ready To Move,Banashankari,Sksia A,1186.0,2,3,65.0,2,4,Ready,0.05480607082630692,16.25,9,7.222222222222222
Plot  Area,Ready To Move,Byrathi Village,GrrvaGr,900.0,3,1,51.0,4,4,Ready,0.056666666666666664,12.75,8,6.375
Super built-up  Area,Ready To Move,Kengeri,VBvenal,750.0,2,1,35.5,2,4,Ready,0.04733333333333333,8.875,7,5.071428571428571
Built-up  Area,Ready To Move,Varthur,SLncyaj,1083.0,2,2,28.0,2,4,Ready,0.02585410895660203,7.0,8,3.5
Built-up  Area,Ready To Move,Nagaraja Garden,GrrvaGr,1430.0,2,1,78.65,3,5,Ready,0.05500000000000001,15.73,8,9.83125
Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,1056.0,2,2,68.0,2,4,Ready,0.06439393939393939,17.0,8,8.5
Super built-up  Area,Ready To Move,VGP Layout,AbnceEs,2108.0,3,3,85.0,3,5,Ready,0.04032258064516129,17.0,11,7.7272727272727275
Super built-up  Area,Ready To Move,Banashankari,Bregae ,1650.0,3,2,101.0,3,5,Ready,0.06121212121212121,20.2,10,10.1
Built-up  Area,18-Jul,Electronic City Phase II,Sryalan,1220.0,3,1,36.6,3,5,Not Ready,0.030000000000000002,7.32,9,4.066666666666666
Super built-up  Area,Ready To Move,Rayasandra,MJeusyl,1198.0,2,1,54.0,2,4,Ready,0.045075125208681135,13.5,7,7.714285714285714
Super built-up  Area,Ready To Move,Ejipura,Prsichi,1190.0,2,1,70.0,2,4,Ready,0.058823529411764705,17.5,7,10.0
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",GrrvaGr,900.0,2,1,41.0,2,4,Not Ready,0.04555555555555556,10.25,7,5.857142857142857
Super built-up  Area,19-Dec,J.P.nagar 6th Phase.Sarakki Nagar,GrrvaGr,2690.0,4,2,185.0,4,6,Not Ready,0.0687732342007435,30.833333333333332,12,15.416666666666666
Built-up  Area,Ready To Move,Kanakapura,GrrvaGr,1340.0,2,2,65.0,2,4,Ready,0.048507462686567165,16.25,8,8.125
Plot  Area,Ready To Move,Giri Nagar,GrrvaGr,2400.0,6,1,400.0,6,6,Ready,0.16666666666666666,66.66666666666667,13,30.76923076923077
Plot  Area,Immediate Possession,Whitefield,SRniaGa,2324.0,2,1,26.73,1,1,Ready,0.011501721170395869,26.73,4,6.6825
Super built-up  Area,19-Dec,Yelahanka,Goues A,1260.0,2,2,59.2,2,4,Not Ready,0.04698412698412699,14.8,8,7.4
Super built-up  Area,21-Feb,Talaghattapura,Sodgere,2254.0,3,2,153.0,3,5,Not Ready,0.06787932564330079,30.6,10,15.3
Super built-up  Area,Ready To Move,Old Madras Road,Brica E,2990.0,5,1,210.0,3,5,Ready,0.07023411371237458,42.0,11,19.09090909090909
Built-up  Area,Ready To Move,1st Block BEL Layout,GrrvaGr,1800.0,5,1,250.0,4,4,Ready,0.1388888888888889,62.5,10,25.0
Built-up  Area,Ready To Move,JP Nagar,Adaveth,820.0,2,1,45.0,2,4,Ready,0.054878048780487805,11.25,7,6.428571428571429
Super built-up  Area,Ready To Move,Electronic City,Naireru,1296.0,2,2,65.0,2,4,Ready,0.05015432098765432,16.25,8,8.125
Super built-up  Area,Ready To Move,Uttarahalli,GrrvaGr,1190.0,2,1,53.55,2,4,Ready,0.045,13.3875,7,7.6499999999999995
Super built-up  Area,19-Dec,Whitefield,Oreldhi,1173.0,2,1,77.0,2,4,Not Ready,0.06564364876385337,19.25,7,11.0
Plot  Area,16-Dec,Sarjapura - Attibele Road,GrrvaGr,1800.0,3,2,90.0,3,3,Not Ready,0.05,30.0,8,11.25
Built-up  Area,Ready To Move,Yelahanka,Rarthne,1102.0,2,0,52.0,2,4,Ready,0.047186932849364795,13.0,6,8.666666666666666
Super built-up  Area,Ready To Move,Sarjapur,GrrvaGr,913.0,2,1,36.0,2,4,Ready,0.03943044906900329,9.0,7,5.142857142857143
Super built-up  Area,18-Apr,Hormavu,GrrvaGr,1176.0,2,1,35.27,3,5,Not Ready,0.029991496598639457,7.054,8,4.40875
Built-up  Area,Ready To Move,Prithvi Layout,Srllaan,1620.0,3,1,65.0,3,5,Ready,0.040123456790123455,13.0,9,7.222222222222222
Super built-up  Area,Ready To Move,Billekahalli,PuhtsHe,2968.0,3,1,225.0,3,5,Ready,0.07580862533692723,45.0,9,25.0
Super built-up  Area,17-Dec,Yelahanka,Hotat H,1519.0,2,3,65.0,2,4,Not Ready,0.042791310072416065,16.25,9,7.222222222222222
Super built-up  Area,Ready To Move,Hosur Road,Saageat,1345.0,2,2,106.0,2,4,Ready,0.07881040892193308,26.5,8,13.25
Super built-up  Area,19-Dec,Dodsworth Layout,Prard B,1594.0,3,2,99.0,3,5,Not Ready,0.062107904642409034,19.8,10,9.9
Super built-up  Area,Ready To Move,Kaverappa Layout,SLarkic,1250.0,2,1,68.0,2,4,Ready,0.0544,17.0,7,9.714285714285714
Super built-up  Area,Ready To Move,Haralur Road,Zostaa ,1056.0,2,1,60.0,2,4,Ready,0.056818181818181816,15.0,7,8.571428571428571
